,1,title,1title,1,text,1text
20624,2,title,2title,2,text,2text
8012,3,title,3title,3,text,3text
17178,4,title,4title,4,text,4text
947,5,title,5title,5,text,5text
5132,6,title,6title,6,text,6text
13033,7,title,7title,7,text,7text
13347,8,title,8title,8,text,8text
13872,9,title,9title,9,text,9text
3030,10,title,10title,10,text,10text
399,11,title,11title,11,text,11text
2302,12,title,12title,12,text,12text
9544,13,title,13title,13,text,13text
10813,14,title,14title,14,text,14text
671,15,title,15title,15,text,15text
900,16,title,16title,16,text,16text
7851,17,title,17title,17,text,17text
20085,18,title,18title,18,text,18text
1147,19,title,19title,19,text,19text
7164,20,title,20title,20,text,20text
1007,21,title,21title,21,text,21text
2217,22,title,22title,22,text,22text
4816,23,title,23title,23,text,23text
578,24,title,24title,24,text,24text
991,25,title,25title,25,text,25text
6072,26,title,26title,26,text,26text
16,27,title,27title,27,text,27text
6860,28,title,28title,28,text,28text
1037,29,title,29title,29,text,29text
1240,30,title,30title,30,text,30text
718,31,title,31title,31,text,31text
3114,32,title,32title,32,text,32text
2391,33,title,33title,33,text,33text
2330,34,title,34title,34,text,34text
18926,35,title,35title,35,text,35text
1723,36,title,36title,36,text,36text
771,37,title,37title,37,text,37text
7021,38,title,38title,38,text,38text
16460,39,title,39title,39,text,39text
1438,40,title,40title,40,text,40text
1480,41,title,41title,41,text,41text
1110,42,title,42title,42,text,42text
6701,43,title,43title,43,text,43text
9598,44,title,44title,44,text,44text
1342,45,title,45title,45,text,45text
8143,46,title,46title,46,text,46text
1041,47,title,47title,47,text,47text
1389,48,title,48title,48,text,48text
2179,49,title,49title,49,text,49text
5754,50,title,50title,50,text,50text
227,51,title,51title,51,text,51text
19460,52,title,52title,52,text,52text
7772,53,title,53title,53,text,53text
2222,54,title,54title,54,text,54text
625,55,title,55title,55,text,55text
14841,56,title,56title,56,text,56text
13168,57,title,57title,57,text,57text
2282,58,title,58title,58,text,58text
205,59,title,59title,59,text,59text
2076,60,title,60title,60,text,60text
15896,61,title,61title,61,text,61text
18721,62,title,62title,62,text,62text
10140,63,title,63title,63,text,63text
17100,64,title,64title,64,text,64text
1675,65,title,65title,65,text,65text
1827,66,title,66title,66,text,66text
4024,67,title,67title,67,text,67text
371,68,title,68title,68,text,68text
10214,69,title,69title,69,text,69text
2556,70,title,70title,70,text,70text
233,71,title,71title,71,text,71text
8896,72,title,72title,72,text,72text
500,73,title,73title,73,text,73text
12965,74,title,74title,74,text,74text
148,75,title,75title,75,text,75text
2490,76,title,76title,76,text,76text
4381,77,title,77title,77,text,77text
7177,78,title,78title,78,text,78text
2433,79,title,79title,79,text,79text
9384,80,title,80title,80,text,80text
1647,81,title,81title,81,text,81text
397,82,title,82title,82,text,82text
16684,83,title,83title,83,text,83text
14803,84,title,84title,84,text,84text
705,85,title,85title,85,text,85text
20411,86,title,86title,86,text,86text
16942,87,title,87title,87,text,87text
4359,88,title,88title,88,text,88text
746,89,title,89title,89,text,89text
1126,90,title,90title,90,text,90text
2568,91,title,91title,91,text,91text
10332,92,title,92title,92,text,92text
17142,93,title,93title,93,text,93text
17303,94,title,94title,94,text,94text
2086,95,title,95title,95,text,95text
8887,96,title,96title,96,text,96text
10304,97,title,97title,97,text,97text
1631,98,title,98title,98,text,98text
3232,99,title,99title,99,text,99text
7874,100,title,100title,100,text,100text
875,101,title,101title,101,text,101text
12130,102,title,102title,102,text,102text
17,103,title,103title,103,text,103text
12069,104,title,104title,104,text,104text
13568,105,title,105title,105,text,105text
9249,106,title,106title,106,text,106text
3624,107,title,107title,107,text,107text
2496,108,title,108title,108,text,108text
20345,109,title,109title,109,text,109text
980,110,title,110title,110,text,110text
6942,111,title,111title,111,text,111text
11844,112,title,112title,112,text,112text
17027,113,title,113title,113,text,113text
11333,114,title,114title,114,text,114text
15303,115,title,115title,115,text,115text
12070,116,title,116title,116,text,116text
581,117,title,117title,117,text,117text
2210,118,title,118title,118,text,118text
1247,119,title,119title,119,text,119text
2314,120,title,120title,120,text,120text
4127,121,title,121title,121,text,121text
2389,122,title,122title,122,text,122text
14134,123,title,123title,123,text,123text
1522,124,title,124title,124,text,124text
14673,125,title,125title,125,text,125text
9059,126,title,126title,126,text,126text
2258,127,title,127title,127,text,127text
10387,128,title,128title,128,text,128text
322,129,title,129title,129,text,129text
14196,130,title,130title,130,text,130text
14053,131,title,131title,131,text,131text
17479,132,title,132title,132,text,132text
14831,133,title,133title,133,text,133text
1303,134,title,134title,134,text,134text
5861,135,title,135title,135,text,135text
6876,136,title,136title,136,text,136text
18638,137,title,137title,137,text,137text
1707,138,title,138title,138,text,138text
6035,139,title,139title,139,text,139text
1444,140,title,140title,140,text,140text
8991,141,title,141title,141,text,141text
18345,142,title,142title,142,text,142text
2145,143,title,143title,143,text,143text
1117,144,title,144title,144,text,144text
1278,145,title,145title,145,text,145text
9083,146,title,146title,146,text,146text
16479,147,title,147title,147,text,147text
1960,148,title,148title,148,text,148text
2201,149,title,149title,149,text,149text
2475,150,title,150title,150,text,150text
18833,151,title,151title,151,text,151text
15258,152,title,152title,152,text,152text
376,153,title,153title,153,text,153text
6224,154,title,154title,154,text,154text
14332,155,title,155title,155,text,155text
11334,156,title,156title,156,text,156text
1792,157,title,157title,157,text,157text
14096,158,title,158title,158,text,158text
20000,159,title,159title,159,text,159text
3325,160,title,160title,160,text,160text
1230,161,title,161title,161,text,161text
18172,162,title,162title,162,text,162text
1119,163,title,163title,163,text,163text
594,164,title,164title,164,text,164text
8133,165,title,165title,165,text,165text
1172,166,title,166title,166,text,166text
8194,167,title,167title,167,text,167text
1579,168,title,168title,168,text,168text
15327,169,title,169title,169,text,169text
383,170,title,170title,170,text,170text
5196,171,title,171title,171,text,171text
4908,172,title,172title,172,text,172text
11527,173,title,173title,173,text,173text
11386,174,title,174title,174,text,174text
14824,175,title,175title,175,text,175text
